Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.0583381652832031	0	24.3689320388	13.8613034672	93.0	9.0	24.3689320388	13.8613034672	5020	5020
2.0181210041046143	1	23.8476190476	13.2570060201	86.0	9.0	23.8476190476	13.2570060201	5008	10028
2.9072439670562744	2	27.9441340782	17.4457565298	116.0	9.0	27.9441340782	17.4457565298	5002	15030
3.7019829750061035	3	28.2584269663	15.7840255542	86.0	10.0	28.2584269663	15.7840255542	5030	20060
4.726770877838135	4	30.3734939759	15.3263383373	89.0	10.0	30.3734939759	15.3263383373	5042	25102
5.571995258331299	5	38.3740458015	26.2214107137	167.0	11.0	38.3740458015	26.2214107137	5027	30129
6.750123977661133	6	36.8308823529	23.6828167874	166.0	8.0	36.8308823529	23.6828167874	5009	35138
7.911890983581543	7	38.2366412214	23.5134627869	153.0	11.0	38.2366412214	23.5134627869	5009	40147
8.928901195526123	8	43.7391304348	24.0105364395	121.0	14.0	43.7391304348	24.0105364395	5030	45177
9.776386976242065	9	42.9572649573	22.1692761766	139.0	12.0	42.9572649573	22.1692761766	5026	50203
10.608666181564331	10	47.0654205607	24.1305913681	115.0	11.0	47.0654205607	24.1305913681	5036	55239
11.4167640209198	11	45.6727272727	24.5398040634	117.0	12.0	45.6727272727	24.5398040634	5024	60263
12.209656000137329	12	50.7575757576	29.665165406	200.0	14.0	50.7575757576	29.665165406	5025	65288
12.98672890663147	13	60.2771084337	31.4299041291	184.0	16.0	60.2771084337	31.4299041291	5003	70291
13.793868064880371	14	57.6436781609	26.7663268518	155.0	15.0	57.6436781609	26.7663268518	5015	75306
14.618557929992676	15	58.7790697674	32.987101483	194.0	16.0	58.7790697674	32.987101483	5055	80361
15.411154985427856	16	66.8666666667	37.0636689435	183.0	17.0	66.8666666667	37.0636689435	5015	85376
16.214578866958618	17	74.1594202899	37.6307857272	173.0	15.0	74.1594202899	37.6307857272	5117	90493
17.01960301399231	18	65.8684210526	37.7872653658	200.0	17.0	65.8684210526	37.7872653658	5006	95499
17.8303279876709	19	70.9014084507	38.839559813	184.0	15.0	70.9014084507	38.839559813	5034	100533
18.657047986984253	20	79.421875	38.5733087314	200.0	17.0	79.421875	38.5733087314	5083	105616
19.465041160583496	21	75.3088235294	39.4242599815	200.0	14.0	75.3088235294	39.4242599815	5121	110737
20.286268949508667	22	87.9655172414	40.1050196864	200.0	13.0	87.9655172414	40.1050196864	5102	115839
21.09420394897461	23	103.714285714	43.2925501439	200.0	17.0	103.714285714	43.2925501439	5082	120921
21.888872861862183	24	105.0625	56.423401709	200.0	12.0	105.0625	56.423401709	5043	125964
23.001905918121338	25	123.243902439	49.8817042014	200.0	20.0	123.243902439	49.8817042014	5053	131017
24.062501192092896	26	132.842105263	51.2858482151	200.0	25.0	132.842105263	51.2858482151	5048	136065
25.127520084381104	27	129.487179487	58.2403824105	200.0	22.0	129.487179487	58.2403824105	5050	141115
26.214670181274414	28	142.666666667	52.0501894542	200.0	15.0	142.666666667	52.0501894542	5136	146251
27.24269199371338	29	135.052631579	54.7150260168	200.0	21.0	135.052631579	54.7150260168	5132	151383
28.09293794631958	30	143.542857143	60.3410984592	200.0	28.0	143.542857143	60.3410984592	5024	156407
28.910002946853638	31	148.114285714	50.3738999475	200.0	50.0	148.114285714	50.3738999475	5184	161591
29.985849142074585	32	158.71875	42.8151801168	200.0	72.0	158.71875	42.8151801168	5079	166670
30.86627197265625	33	172.266666667	33.8082172786	200.0	85.0	172.266666667	33.8082172786	5168	171838
31.969845056533813	34	158.4375	46.5697980858	200.0	50.0	158.4375	46.5697980858	5070	176908
32.998363971710205	35	159.21875	46.9665668155	200.0	38.0	159.21875	46.9665668155	5095	182003
34.154258012771606	36	174.068965517	29.4324838542	200.0	98.0	174.068965517	29.4324838542	5048	187051
35.19844603538513	37	167.333333333	31.5935999145	200.0	79.0	167.333333333	31.5935999145	5020	192071
36.26006603240967	38	168.266666667	45.8453438809	200.0	24.0	168.266666667	45.8453438809	5048	197119
37.20028209686279	39	192.653846154	16.3517637432	200.0	136.0	192.653846154	16.3517637432	5009	202128
38.15763807296753	40	177.172413793	34.684856047	200.0	73.0	177.172413793	34.684856047	5138	207266
39.175512075424194	41	193.153846154	15.4837192602	200.0	136.0	193.153846154	15.4837192602	5022	212288
40.26830005645752	42	190.037037037	25.444902686	200.0	72.0	190.037037037	25.444902686	5131	217419
41.1134729385376	43	181.464285714	21.7197772661	200.0	139.0	181.464285714	21.7197772661	5081	222500
41.90643095970154	44	185.444444444	20.6833863073	200.0	139.0	185.444444444	20.6833863073	5007	227507
42.74006700515747	45	189.185185185	14.8574386832	200.0	151.0	189.185185185	14.8574386832	5108	232615
43.54537487030029	46	186.259259259	28.5392421096	200.0	67.0	186.259259259	28.5392421096	5029	237644
44.341299057006836	47	186.037037037	21.2053128938	200.0	131.0	186.037037037	21.2053128938	5023	242667
45.140334129333496	48	190.259259259	18.2058041062	200.0	145.0	190.259259259	18.2058041062	5137	247804
45.97238492965698	49	190.074074074	16.0044575409	200.0	153.0	190.074074074	16.0044575409	5132	252936
46.778197050094604	50	186.444444444	28.3200404547	200.0	80.0	186.444444444	28.3200404547	5034	257970
47.58616304397583	51	190.703703704	15.7757779988	200.0	142.0	190.703703704	15.7757779988	5149	263119
48.39905405044556	52	191.111111111	18.337036663	200.0	125.0	191.111111111	18.337036663	5160	268279
49.23738503456116	53	189.407407407	17.3146464638	200.0	142.0	189.407407407	17.3146464638	5114	273393
50.05127191543579	54	195.730769231	11.0681722913	200.0	152.0	195.730769231	11.0681722913	5089	278482
50.89972996711731	55	184.142857143	31.4253245076	200.0	48.0	184.142857143	31.4253245076	5156	283638
51.73633885383606	56	187.074074074	21.7867202602	200.0	121.0	187.074074074	21.7867202602	5051	288689
52.649580001831055	57	191.296296296	19.138510362	200.0	131.0	191.296296296	19.138510362	5165	293854
53.53031611442566	58	196.0	10.1299252029	200.0	158.0	196.0	10.1299252029	5096	298950
54.316097021102905	59	193.230769231	14.4549903342	200.0	141.0	193.230769231	14.4549903342	5024	303974
55.094610929489136	60	192.730769231	17.4918831557	200.0	127.0	192.730769231	17.4918831557	5011	308985
55.870262145996094	61	193.0	13.1675592038	200.0	156.0	193.0	13.1675592038	5018	314003
56.661816120147705	62	189.703703704	22.9924541806	200.0	95.0	189.703703704	22.9924541806	5122	319125
57.4485182762146	63	189.740740741	20.8781164763	200.0	134.0	189.740740741	20.8781164763	5123	324248
