Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.4758169651031494	0	30.0	16.6973051718	90.0	10.0	30.0	16.6973051718	1050	1050
0.6743502616882324	1	25.45	13.0766012404	67.0	11.0	25.45	13.0766012404	1018	2068
0.8585259914398193	2	27.1315789474	15.110419989	73.0	10.0	27.1315789474	15.110419989	1031	3099
1.0376060009002686	3	32.4193548387	14.5685790782	70.0	10.0	32.4193548387	14.5685790782	1005	4104
1.2141289710998535	4	35.8571428571	26.1420764911	131.0	11.0	35.8571428571	26.1420764911	1004	5108
1.3960788249969482	5	45.5	32.7937771259	137.0	13.0	45.5	32.7937771259	1001	6109
1.5758469104766846	6	38.2962962963	16.5122060684	80.0	15.0	38.2962962963	16.5122060684	1034	7143
1.7621729373931885	7	50.5238095238	26.2254312192	107.0	16.0	50.5238095238	26.2254312192	1061	8204
1.943446159362793	8	38.7037037037	21.8950608582	107.0	11.0	38.7037037037	21.8950608582	1045	9249
2.1179511547088623	9	47.7142857143	26.8472626203	127.0	16.0	47.7142857143	26.8472626203	1002	10251
2.2932229042053223	10	45.6363636364	26.0829889784	120.0	15.0	45.6363636364	26.0829889784	1004	11255
2.4711780548095703	11	52.05	24.6667286035	106.0	17.0	52.05	24.6667286035	1041	12296
2.6506481170654297	12	47.3181818182	23.6054430619	106.0	17.0	47.3181818182	23.6054430619	1041	13337
2.830824136734009	13	53.7894736842	21.5151817815	95.0	21.0	53.7894736842	21.5151817815	1022	14359
3.0096380710601807	14	57.1111111111	31.636632931	124.0	15.0	57.1111111111	31.636632931	1028	15387
3.186856985092163	15	53.4210526316	26.0249188066	125.0	20.0	53.4210526316	26.0249188066	1015	16402
3.3811709880828857	16	53.5714285714	32.2852928755	168.0	11.0	53.5714285714	32.2852928755	1125	17527
3.5642471313476562	17	65.25	29.4416796396	145.0	17.0	65.25	29.4416796396	1044	18571
3.750756025314331	18	70.2666666667	38.7306367392	155.0	24.0	70.2666666667	38.7306367392	1054	19625
3.928903102874756	19	68.0666666667	29.142103943	145.0	29.0	68.0666666667	29.142103943	1021	20646
4.10391902923584	20	78.0	30.7796136328	127.0	24.0	78.0	30.7796136328	1014	21660
4.303982257843018	21	78.4285714286	46.4891911949	169.0	27.0	78.4285714286	46.4891911949	1098	22758
4.496134042739868	22	80.2307692308	33.1294752475	158.0	27.0	80.2307692308	33.1294752475	1043	23801
4.6714560985565186	23	95.2727272727	42.7255318794	183.0	33.0	95.2727272727	42.7255318794	1048	24849
4.865315198898315	24	80.2142857143	29.4743922061	136.0	39.0	80.2142857143	29.4743922061	1123	25972
