Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.0821459293365479	0	22.9633027523	12.6061923079	83.0	8.0	22.9633027523	12.6061923079	5006	5006
1.8992769718170166	1	21.7370689655	11.6720564492	82.0	8.0	21.7370689655	11.6720564492	5043	10049
2.692840099334717	2	24.7574257426	16.2741235808	116.0	9.0	24.7574257426	16.2741235808	5001	15050
3.4888851642608643	3	27.5081967213	17.5193472607	126.0	9.0	27.5081967213	17.5193472607	5034	20084
4.315284967422485	4	28.4375	15.1408749334	90.0	10.0	28.4375	15.1408749334	5005	25089
5.125186920166016	5	29.6804733728	15.5735980425	89.0	9.0	29.6804733728	15.5735980425	5016	30105
5.926124095916748	6	31.572327044	16.6674688308	137.0	10.0	31.572327044	16.6674688308	5020	35125
6.716900110244751	7	34.7777777778	18.9074663546	109.0	10.0	34.7777777778	18.9074663546	5008	40133
7.5102410316467285	8	34.3356164384	18.4636916556	93.0	11.0	34.3356164384	18.4636916556	5013	45146
8.303213119506836	9	37.4850746269	23.4112280355	165.0	11.0	37.4850746269	23.4112280355	5023	50169
9.126682043075562	10	40.9593495935	21.3398357877	115.0	11.0	40.9593495935	21.3398357877	5038	55207
9.913822174072266	11	42.3898305085	22.2036162493	106.0	11.0	42.3898305085	22.2036162493	5002	60209
10.72628116607666	12	45.3303571429	24.7715953379	137.0	11.0	45.3303571429	24.7715953379	5077	65286
11.518480062484741	13	44.4867256637	24.5277935341	146.0	13.0	44.4867256637	24.5277935341	5027	70313
12.309523105621338	14	46.5	22.4909446799	127.0	11.0	46.5	22.4909446799	5022	75335
13.113551139831543	15	52.6082474227	26.060024567	138.0	14.0	52.6082474227	26.060024567	5103	80438
13.908086061477661	16	53.1157894737	28.3136058638	173.0	16.0	53.1157894737	28.3136058638	5046	85484
14.6998291015625	17	52.59375	25.6927268101	140.0	11.0	52.59375	25.6927268101	5049	90533
15.488470077514648	18	53.3936170213	26.4105145426	158.0	15.0	53.3936170213	26.4105145426	5019	95552
16.280198097229004	19	57.8620689655	29.7588670892	165.0	13.0	57.8620689655	29.7588670892	5034	100586
17.066657066345215	20	58.476744186	24.9188108381	156.0	20.0	58.476744186	24.9188108381	5029	105615
17.856239080429077	21	57.9885057471	24.7216663561	159.0	19.0	57.9885057471	24.7216663561	5045	110660
18.64451289176941	22	61.9382716049	25.4661943329	166.0	23.0	61.9382716049	25.4661943329	5017	115677
19.438019037246704	23	60.7469879518	31.6832377002	195.0	14.0	60.7469879518	31.6832377002	5042	120719
20.237123012542725	24	76.4179104478	36.0477085424	200.0	19.0	76.4179104478	36.0477085424	5120	125839
21.02923011779785	25	71.8	33.1216804267	169.0	20.0	71.8	33.1216804267	5026	130865
21.814000129699707	26	72.6086956522	29.9372374353	145.0	19.0	72.6086956522	29.9372374353	5010	135875
22.610969066619873	27	81.7096774194	29.1284070951	153.0	16.0	81.7096774194	29.1284070951	5066	140941
23.409528017044067	28	80.5079365079	36.2749084717	200.0	31.0	80.5079365079	36.2749084717	5072	146013
24.24031710624695	29	87.6034482759	35.4512485336	200.0	26.0	87.6034482759	35.4512485336	5081	151094
25.02899718284607	30	86.5689655172	33.3963202954	200.0	17.0	86.5689655172	33.3963202954	5021	156115
25.821027040481567	31	90.5535714286	35.3012138818	189.0	26.0	90.5535714286	35.3012138818	5071	161186
26.60883402824402	32	96.5769230769	44.5323331774	200.0	26.0	96.5769230769	44.5323331774	5022	166208
27.427231073379517	33	101.823529412	41.6218767337	200.0	32.0	101.823529412	41.6218767337	5193	171401
28.222039937973022	34	126.6	48.9759124468	200.0	23.0	126.6	48.9759124468	5064	176465
29.0178861618042	35	141.222222222	49.3243860755	200.0	20.0	141.222222222	49.3243860755	5084	181549
29.856502056121826	36	157.0	49.231056963	200.0	26.0	157.0	49.231056963	5181	186730
30.785521030426025	37	141.916666667	53.2631699937	200.0	42.0	141.916666667	53.2631699937	5109	191839
31.636847972869873	38	137.378378378	50.8018681032	200.0	35.0	137.378378378	50.8018681032	5083	196922
32.46845722198486	39	167.133333333	44.4190149473	200.0	43.0	167.133333333	44.4190149473	5014	201936
33.31707692146301	40	156.636363636	55.8915715345	200.0	29.0	156.636363636	55.8915715345	5169	207105
34.194242000579834	41	152.939393939	55.0145652306	200.0	48.0	152.939393939	55.0145652306	5047	212152
35.01898407936096	42	157.21875	38.5581819908	200.0	75.0	157.21875	38.5581819908	5031	217183
35.81030797958374	43	151.878787879	50.0555797609	200.0	47.0	151.878787879	50.0555797609	5012	222195
36.61590504646301	44	176.24137931	38.4614945577	200.0	75.0	176.24137931	38.4614945577	5111	227306
37.43144607543945	45	156.242424242	51.1966087318	200.0	24.0	156.242424242	51.1966087318	5156	232462
38.232502937316895	46	187.62962963	20.1239642442	200.0	125.0	187.62962963	20.1239642442	5066	237528
39.066824197769165	47	181.214285714	34.0738244141	200.0	78.0	181.214285714	34.0738244141	5074	242602
39.891350984573364	48	173.0	34.9628374135	200.0	90.0	173.0	34.9628374135	5190	247792
40.6935248374939	49	192.730769231	18.1586124773	200.0	116.0	192.730769231	18.1586124773	5011	252803
41.49706697463989	50	190.0	22.4482944993	200.0	105.0	190.0	22.4482944993	5130	257933
42.34900116920471	51	185.37037037	21.3786812263	200.0	122.0	185.37037037	21.3786812263	5005	262938
43.16929292678833	52	178.24137931	39.6533732725	200.0	42.0	178.24137931	39.6533732725	5169	268107
43.97088599205017	53	183.25	32.0620213693	200.0	100.0	183.25	32.0620213693	5131	273238
