Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.1119492053985596	0	25.2914572864	13.0135405859	107.0	10.0	25.2914572864	13.0135405859	5033	5033
1.9764649868011475	1	26.171875	12.8113979455	69.0	10.0	26.171875	12.8113979455	5025	10058
2.797477960586548	2	29.2865497076	15.8278308194	105.0	9.0	29.2865497076	15.8278308194	5008	15066
3.655938148498535	3	32.7207792208	19.1048021274	122.0	9.0	32.7207792208	19.1048021274	5039	20105
4.4562530517578125	4	33.3466666667	16.7431524975	84.0	9.0	33.3466666667	16.7431524975	5002	25107
5.329728126525879	5	34.3287671233	19.0022023197	135.0	11.0	34.3287671233	19.0022023197	5012	30119
6.287106037139893	6	37.9545454545	22.1516343321	125.0	12.0	37.9545454545	22.1516343321	5010	35129
7.189280033111572	7	38.7984496124	19.2629217056	127.0	12.0	38.7984496124	19.2629217056	5005	40134
8.261250972747803	8	40.5806451613	22.2417424961	156.0	11.0	40.5806451613	22.2417424961	5032	45166
9.143373966217041	9	42.7606837607	24.9747392285	156.0	9.0	42.7606837607	24.9747392285	5003	50169
10.015399932861328	10	46.9439252336	24.9615898486	123.0	15.0	46.9439252336	24.9615898486	5023	55192
10.988678932189941	11	48.4711538462	21.8231337782	142.0	17.0	48.4711538462	21.8231337782	5041	60233
12.040292978286743	12	49.0097087379	25.6069981127	151.0	14.0	49.0097087379	25.6069981127	5048	65281
13.11878514289856	13	44.2192982456	19.6565951487	123.0	15.0	44.2192982456	19.6565951487	5041	70322
14.01321291923523	14	53.3684210526	25.975718472	133.0	16.0	53.3684210526	25.975718472	5070	75392
15.026021003723145	15	51.7731958763	23.6170064335	129.0	15.0	51.7731958763	23.6170064335	5022	80414
16.151686906814575	16	51.5567010309	21.7217497882	118.0	18.0	51.5567010309	21.7217497882	5001	85415
17.152919054031372	17	57.8505747126	24.7815878702	152.0	21.0	57.8505747126	24.7815878702	5033	90448
18.115015029907227	18	51.2857142857	22.651305319	126.0	18.0	51.2857142857	22.651305319	5026	95474
18.99018907546997	19	55.0434782609	28.3483428867	144.0	14.0	55.0434782609	28.3483428867	5064	100538
19.895021200180054	20	55.2747252747	27.521845842	176.0	12.0	55.2747252747	27.521845842	5030	105568
21.004915952682495	21	59.5476190476	27.0147247159	146.0	22.0	59.5476190476	27.0147247159	5002	110570
22.22133207321167	22	64.1153846154	31.0235562978	187.0	24.0	64.1153846154	31.0235562978	5001	115571
23.284001111984253	23	60.2530120482	23.9597269397	147.0	27.0	60.2530120482	23.9597269397	5001	120572
24.384799003601074	24	63.9746835443	26.2976991262	200.0	11.0	63.9746835443	26.2976991262	5054	125626
25.46182680130005	25	69.1917808219	28.4290308568	185.0	20.0	69.1917808219	28.4290308568	5051	130677
26.428932905197144	26	63.3797468354	24.2514798178	158.0	24.0	63.3797468354	24.2514798178	5007	135684
27.56399393081665	27	64.5256410256	25.5110455509	164.0	19.0	64.5256410256	25.5110455509	5033	140717
28.579309225082397	28	67.7432432432	25.6330976979	167.0	32.0	67.7432432432	25.6330976979	5013	145730
29.583364009857178	29	69.9583333333	32.3747318736	200.0	23.0	69.9583333333	32.3747318736	5037	150767
30.86157488822937	30	70.661971831	27.899691382	141.0	22.0	70.661971831	27.899691382	5017	155784
31.97327494621277	31	70.4647887324	25.4075684554	131.0	16.0	70.4647887324	25.4075684554	5003	160787
32.88284707069397	32	71.4366197183	24.499918019	143.0	32.0	71.4366197183	24.499918019	5072	165859
33.96162414550781	33	74.7910447761	34.5454653107	186.0	20.0	74.7910447761	34.5454653107	5011	170870
35.051265001297	34	82.2131147541	34.5619494906	173.0	26.0	82.2131147541	34.5619494906	5015	175885
36.36379599571228	35	76.6060606061	32.4751087841	167.0	30.0	76.6060606061	32.4751087841	5056	180941
37.58471393585205	36	78.140625	30.8443001154	194.0	28.0	78.140625	30.8443001154	5001	185942
38.845999002456665	37	74.7014925373	26.8633995722	169.0	29.0	74.7014925373	26.8633995722	5005	190947
40.21245193481445	38	76.5	29.0043100245	151.0	33.0	76.5	29.0043100245	5049	195996
41.12351894378662	39	89.5178571429	39.8546426187	200.0	27.0	89.5178571429	39.8546426187	5013	201009
41.959847927093506	40	85.4237288136	34.520543326	182.0	35.0	85.4237288136	34.520543326	5040	206049
42.77020192146301	41	85.7627118644	33.7329185816	194.0	46.0	85.7627118644	33.7329185816	5060	211109
43.60710787773132	42	82.2459016393	29.6386188799	172.0	36.0	82.2459016393	29.6386188799	5017	216126
44.45119500160217	43	84.8333333333	29.6940884502	166.0	42.0	84.8333333333	29.6940884502	5090	221216
45.244205951690674	44	104.395833333	39.6871828509	200.0	41.0	104.395833333	39.6871828509	5011	226227
46.02327799797058	45	100.08	45.4751976356	200.0	34.0	100.08	45.4751976356	5004	231231
46.924216985702515	46	88.3448275862	31.0586495944	168.0	34.0	88.3448275862	31.0586495944	5124	236355
47.78512692451477	47	94.8867924528	39.1690387825	200.0	31.0	94.8867924528	39.1690387825	5029	241384
48.81194090843201	48	110.0	40.4716755489	200.0	56.0	110.0	40.4716755489	5060	246444
49.94155693054199	49	112.977777778	42.6393083584	200.0	39.0	112.977777778	42.6393083584	5084	251528
50.900753021240234	50	111.822222222	38.4293226522	200.0	46.0	111.822222222	38.4293226522	5032	256560
51.72446799278259	51	118.325581395	45.2377291239	200.0	45.0	118.325581395	45.2377291239	5088	261648
52.837641954422	52	131.58974359	47.4004857428	200.0	52.0	131.58974359	47.4004857428	5132	266780
53.68700814247131	53	148.676470588	48.8591737357	200.0	63.0	148.676470588	48.8591737357	5055	271835
54.51331806182861	54	140.416666667	53.2735993611	200.0	32.0	140.416666667	53.2735993611	5055	276890
55.519453048706055	55	152.470588235	41.2975111728	200.0	74.0	152.470588235	41.2975111728	5184	282074
56.46851205825806	56	157.0	36.1429453697	200.0	83.0	157.0	36.1429453697	5024	287098
57.305355072021484	57	175.137931034	33.3215516238	200.0	96.0	175.137931034	33.3215516238	5079	292177
58.31131911277771	58	177.379310345	32.4987148744	200.0	106.0	177.379310345	32.4987148744	5144	297321
59.32820105552673	59	169.966666667	34.7673058426	200.0	99.0	169.966666667	34.7673058426	5099	302420
60.53711700439453	60	172.833333333	29.1582845098	200.0	101.0	172.833333333	29.1582845098	5185	307605
61.60970187187195	61	178.551724138	31.9564209801	200.0	96.0	178.551724138	31.9564209801	5178	312783
62.58470606803894	62	175.827586207	35.1931311534	200.0	89.0	175.827586207	35.1931311534	5099	317882
