Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.45128393173217773	0	21.0625	8.32517830139	47.0	11.0	21.0625	8.32517830139	1011	1011
0.6538670063018799	1	22.6444444444	14.4470766832	78.0	10.0	22.6444444444	14.4470766832	1019	2030
0.8361039161682129	2	27.1081081081	18.6268968325	86.0	9.0	27.1081081081	18.6268968325	1003	3033
1.0192618370056152	3	25.525	14.3265269692	77.0	10.0	25.525	14.3265269692	1021	4054
1.2149770259857178	4	26.4358974359	13.78924678	67.0	11.0	26.4358974359	13.78924678	1031	5085
1.401261806488037	5	30.6363636364	16.9309080496	73.0	12.0	30.6363636364	16.9309080496	1011	6096
1.5911469459533691	6	38.9615384615	24.3697176039	116.0	10.0	38.9615384615	24.3697176039	1013	7109
1.7786788940429688	7	30.0294117647	16.270661605	86.0	11.0	30.0294117647	16.270661605	1021	8130
1.968092918395996	8	36.8928571429	18.5170563954	75.0	10.0	36.8928571429	18.5170563954	1033	9163
2.1516077518463135	9	33.7741935484	16.1039159281	90.0	14.0	33.7741935484	16.1039159281	1047	10210
2.3324108123779297	10	43.2083333333	19.323947075	95.0	17.0	43.2083333333	19.323947075	1037	11247
2.516314744949341	11	39.2692307692	25.614835984	114.0	11.0	39.2692307692	25.614835984	1021	12268
2.7076709270477295	12	43.4583333333	18.9340503825	73.0	13.0	43.4583333333	18.9340503825	1043	13311
2.8873636722564697	13	63.9375	44.0957321489	169.0	21.0	63.9375	44.0957321489	1023	14334
3.0647668838500977	14	59.8235294118	32.5399940239	148.0	21.0	59.8235294118	32.5399940239	1017	15351
3.2466869354248047	15	54.3157894737	40.0329504173	200.0	19.0	54.3157894737	40.0329504173	1032	16383
3.4231460094451904	16	40.16	16.9721654482	86.0	18.0	40.16	16.9721654482	1004	17387
3.6048009395599365	17	55.6111111111	27.0044006473	108.0	18.0	55.6111111111	27.0044006473	1001	18388
3.785943031311035	18	53.8421052632	34.8262803942	160.0	16.0	53.8421052632	34.8262803942	1023	19411
3.9667978286743164	19	56.7222222222	26.3898245448	119.0	22.0	56.7222222222	26.3898245448	1021	20432
4.147456884384155	20	60.0588235294	28.9694983372	157.0	35.0	60.0588235294	28.9694983372	1021	21453
4.337774753570557	21	54.8421052632	23.9082966394	109.0	20.0	54.8421052632	23.9082966394	1042	22495
4.521629810333252	22	60.1176470588	24.506619401	117.0	33.0	60.1176470588	24.506619401	1022	23517
4.718405723571777	23	58.6111111111	22.1588680239	92.0	16.0	58.6111111111	22.1588680239	1055	24572
4.911458730697632	24	62.5882352941	20.6028519543	103.0	25.0	62.5882352941	20.6028519543	1064	25636
5.106014966964722	25	69.0666666667	25.7409315207	130.0	18.0	69.0666666667	25.7409315207	1036	26672
5.300148963928223	26	81.9230769231	34.3588786834	149.0	19.0	81.9230769231	34.3588786834	1065	27737
5.484746932983398	27	66.7333333333	34.6803819023	172.0	28.0	66.7333333333	34.6803819023	1001	28738
5.667968034744263	28	87.0	37.4855527726	189.0	29.0	87.0	37.4855527726	1044	29782
5.855839967727661	29	74.1428571429	29.105368044	124.0	25.0	74.1428571429	29.105368044	1038	30820
6.041790962219238	30	88.0833333333	44.88588927	200.0	35.0	88.0833333333	44.88588927	1057	31877
6.225761890411377	31	103.6	26.0814110048	153.0	72.0	103.6	26.0814110048	1036	32913
6.434644937515259	32	97.0909090909	50.1351891398	200.0	34.0	97.0909090909	50.1351891398	1068	33981
6.620877027511597	33	80.6923076923	27.5914831212	133.0	41.0	80.6923076923	27.5914831212	1049	35030
6.814562082290649	34	109.2	40.3727630959	200.0	48.0	109.2	40.3727630959	1092	36122
6.994997978210449	35	115.444444444	42.3795315141	196.0	42.0	115.444444444	42.3795315141	1039	37161
7.171167850494385	36	111.555555556	28.9601684737	144.0	44.0	111.555555556	28.9601684737	1004	38165
7.352529764175415	37	113.222222222	45.9438734346	192.0	54.0	113.222222222	45.9438734346	1019	39184
7.554959774017334	38	127.75	42.5169084012	200.0	58.0	127.75	42.5169084012	1022	40206
7.738402843475342	39	169.0	33.9362146779	200.0	111.0	169.0	33.9362146779	1014	41220
7.934380054473877	40	176.666666667	24.0947204913	200.0	145.0	176.666666667	24.0947204913	1060	42280
8.146057844161987	41	195.166666667	8.41460370758	200.0	177.0	195.166666667	8.41460370758	1171	43451
8.361936807632446	42	171.428571429	35.5039520652	200.0	108.0	171.428571429	35.5039520652	1200	44651
8.54755687713623	43	173.0	38.1881307913	200.0	118.0	173.0	38.1881307913	1038	45689
8.736442804336548	44	174.333333333	45.6678831955	200.0	75.0	174.333333333	45.6678831955	1046	46735
8.931451797485352	45	160.142857143	35.6908494532	200.0	94.0	160.142857143	35.6908494532	1121	47856
9.154472827911377	46	192.666666667	16.397831835	200.0	156.0	192.666666667	16.397831835	1156	49012
9.335767030715942	47	172.666666667	39.2711372667	200.0	106.0	172.666666667	39.2711372667	1036	50048
9.526750802993774	48	177.0	37.4076640989	200.0	99.0	177.0	37.4076640989	1062	51110
9.71225881576538	49	176.0	34.1174442185	200.0	122.0	176.0	34.1174442185	1056	52166
9.913610935211182	50	192.0	17.88854382	200.0	152.0	192.0	17.88854382	1152	53318
10.087816953659058	51	143.285714286	46.5271480988	200.0	68.0	143.285714286	46.5271480988	1003	54321
10.288704872131348	52	195.5	10.0623058987	200.0	173.0	195.5	10.0623058987	1173	55494
10.50986385345459	53	186.0	27.0801280155	200.0	126.0	186.0	27.0801280155	1116	56610
10.72370195388794	54	193.166666667	10.0069420349	200.0	175.0	193.166666667	10.0069420349	1159	57769
10.909380912780762	55	145.428571429	49.0127013942	200.0	89.0	145.428571429	49.0127013942	1018	58787
11.120397806167603	56	138.5	57.421685799	200.0	53.0	138.5	57.421685799	1108	59895
11.319569826126099	57	177.166666667	32.508545885	200.0	125.0	177.166666667	32.508545885	1063	60958
11.568071842193604	58	175.666666667	39.3347457374	200.0	94.0	175.666666667	39.3347457374	1054	62012
11.786812782287598	59	194.333333333	12.6710518725	200.0	166.0	194.333333333	12.6710518725	1166	63178
11.972376823425293	60	174.666666667	37.6415845693	200.0	104.0	174.666666667	37.6415845693	1048	64226
12.173894882202148	61	184.666666667	25.7336787542	200.0	130.0	184.666666667	25.7336787542	1108	65334
12.381662845611572	62	193.333333333	14.90711985	200.0	160.0	193.333333333	14.90711985	1160	66494
12.604773759841919	63	200.0	0.0	200.0	200.0	200.0	0.0	1200	67694
12.820178985595703	64	200.0	0.0	200.0	200.0	200.0	0.0	1200	68894
13.031904935836792	65	200.0	0.0	200.0	200.0	200.0	0.0	1200	70094
13.240669965744019	66	184.5	33.3354166016	200.0	110.0	184.5	33.3354166016	1107	71201
13.441022872924805	67	188.666666667	25.342103745	200.0	132.0	188.666666667	25.342103745	1132	72333
13.654055833816528	68	194.0	13.416407865	200.0	164.0	194.0	13.416407865	1164	73497
13.879523754119873	69	200.0	0.0	200.0	200.0	200.0	0.0	1200	74697
14.099586009979248	70	200.0	0.0	200.0	200.0	200.0	0.0	1200	75897
14.304750680923462	71	184.166666667	35.4044096437	200.0	105.0	184.166666667	35.4044096437	1105	77002
14.52949571609497	72	200.0	0.0	200.0	200.0	200.0	0.0	1200	78202
14.748162746429443	73	190.0	16.010413278	200.0	157.0	190.0	16.010413278	1140	79342
15.070096731185913	74	200.0	0.0	200.0	200.0	200.0	0.0	1200	80542
15.392252922058105	75	200.0	0.0	200.0	200.0	200.0	0.0	1200	81742
15.609220743179321	76	200.0	0.0	200.0	200.0	200.0	0.0	1200	82942
15.82158088684082	77	200.0	0.0	200.0	200.0	200.0	0.0	1200	84142
16.108144760131836	78	200.0	0.0	200.0	200.0	200.0	0.0	1200	85342
16.490619897842407	79	196.333333333	8.1989159175	200.0	178.0	196.333333333	8.1989159175	1178	86520
16.704734802246094	80	200.0	0.0	200.0	200.0	200.0	0.0	1200	87720
16.920140027999878	81	200.0	0.0	200.0	200.0	200.0	0.0	1200	88920
17.134443998336792	82	200.0	0.0	200.0	200.0	200.0	0.0	1200	90120
17.34907078742981	83	200.0	0.0	200.0	200.0	200.0	0.0	1200	91320
17.570782899856567	84	198.666666667	2.98142397	200.0	192.0	198.666666667	2.98142397	1192	92512
17.772222995758057	85	191.0	18.8148877222	200.0	149.0	191.0	18.8148877222	1146	93658
17.985307931900024	86	198.0	4.472135955	200.0	188.0	198.0	4.472135955	1188	94846
18.287682056427002	87	198.166666667	2.60874597375	200.0	194.0	198.166666667	2.60874597375	1189	96035
18.5663058757782	88	191.166666667	13.4215829502	200.0	165.0	191.166666667	13.4215829502	1147	97182
18.91227388381958	89	189.5	17.3373392807	200.0	153.0	189.5	17.3373392807	1137	98319
19.236511945724487	90	195.666666667	9.6896279025	200.0	174.0	195.666666667	9.6896279025	1174	99493
19.47857689857483	91	195.833333333	9.31694990625	200.0	175.0	195.833333333	9.31694990625	1175	100668
19.689457893371582	92	198.5	3.35410196625	200.0	191.0	198.5	3.35410196625	1191	101859
19.973654985427856	93	196.5	7.82623792125	200.0	179.0	196.5	7.82623792125	1179	103038
20.299607753753662	94	200.0	0.0	200.0	200.0	200.0	0.0	1200	104238
20.50679588317871	95	190.833333333	10.7458002132	200.0	171.0	190.833333333	10.7458002132	1145	105383
20.727535724639893	96	200.0	0.0	200.0	200.0	200.0	0.0	1200	106583
20.95213484764099	97	194.333333333	8.51795489279	200.0	178.0	194.333333333	8.51795489279	1166	107749
21.30464482307434	98	188.333333333	13.7679176187	200.0	167.0	188.333333333	13.7679176187	1130	108879
21.564488887786865	99	194.333333333	12.6710518725	200.0	166.0	194.333333333	12.6710518725	1166	110045
