Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.6478090286254883	0	21.0416666667	9.7680566417	45.0	10.0	21.0416666667	9.7680566417	1010	1010
0.8790230751037598	1	25.1	15.4754644518	72.0	12.0	25.1	15.4754644518	1004	2014
1.0771048069000244	2	29.7714285714	27.5536730393	172.0	9.0	29.7714285714	27.5536730393	1042	3056
1.2604689598083496	3	25.225	11.9215928047	55.0	8.0	25.225	11.9215928047	1009	4065
1.455160140991211	4	26.358974359	14.3607141803	69.0	8.0	26.358974359	14.3607141803	1028	5093
1.6428890228271484	5	25.175	18.3560446447	92.0	9.0	25.175	18.3560446447	1007	6100
1.832205057144165	6	30.6363636364	17.0290628255	91.0	9.0	30.6363636364	17.0290628255	1011	7111
2.0132291316986084	7	31.34375	21.905492141	135.0	9.0	31.34375	21.905492141	1003	8114
2.2026398181915283	8	35.0344827586	23.5730453296	109.0	10.0	35.0344827586	23.5730453296	1016	9130
2.409250020980835	9	35.4827586207	20.1864083493	82.0	12.0	35.4827586207	20.1864083493	1029	10159
2.5966458320617676	10	50.2857142857	25.3191868845	118.0	17.0	50.2857142857	25.3191868845	1056	11215
2.7796411514282227	11	35.0	15.0905313999	65.0	12.0	35.0	15.0905313999	1015	12230
2.967988967895508	12	37.3703703704	19.6150889541	89.0	10.0	37.3703703704	19.6150889541	1009	13239
3.160871982574463	13	60.1764705882	16.9609769909	89.0	25.0	60.1764705882	16.9609769909	1023	14262
3.354218006134033	14	49.0909090909	22.0369711887	95.0	13.0	49.0909090909	22.0369711887	1080	15342
3.5635159015655518	15	38.3333333333	17.3994465642	76.0	14.0	38.3333333333	17.3994465642	1035	16377
3.75688099861145	16	49.380952381	23.7676775123	102.0	21.0	49.380952381	23.7676775123	1037	17414
3.946035861968994	17	47.5	21.3387185438	94.0	15.0	47.5	21.3387185438	1045	18459
4.131428956985474	18	43.6956521739	19.6234881059	86.0	17.0	43.6956521739	19.6234881059	1005	19464
4.312932014465332	19	55.7777777778	25.9840881985	103.0	19.0	55.7777777778	25.9840881985	1004	20468
4.503989934921265	20	55.6315789474	30.9213101893	122.0	16.0	55.6315789474	30.9213101893	1057	21525
4.702629804611206	21	53.15	25.138168191	114.0	15.0	53.15	25.138168191	1063	22588
4.891471862792969	22	57.3888888889	21.6131104474	95.0	21.0	57.3888888889	21.6131104474	1033	23621
5.088889837265015	23	82.7692307692	43.6227778295	200.0	18.0	82.7692307692	43.6227778295	1076	24697
5.277719974517822	24	70.3333333333	37.5298399795	161.0	21.0	70.3333333333	37.5298399795	1055	25752
5.4735071659088135	25	63.7647058824	24.4095675836	114.0	26.0	63.7647058824	24.4095675836	1084	26836
5.665135145187378	26	88.4166666667	36.6389099486	167.0	21.0	88.4166666667	36.6389099486	1061	27897
5.8611159324646	27	68.4	38.5223744509	163.0	20.0	68.4	38.5223744509	1026	28923
6.0480029582977295	28	79.0	24.9275874361	108.0	30.0	79.0	24.9275874361	1027	29950
6.2326741218566895	29	63.75	20.528942983	99.0	37.0	63.75	20.528942983	1020	30970
6.416923999786377	30	84.4166666667	37.8339757655	176.0	40.0	84.4166666667	37.8339757655	1013	31983
6.610513925552368	31	81.0	27.8650594556	144.0	25.0	81.0	27.8650594556	1053	33036
6.799696922302246	32	117.333333333	39.2286743198	200.0	62.0	117.333333333	39.2286743198	1056	34092
6.980985879898071	33	77.5384615385	39.7252397671	200.0	35.0	77.5384615385	39.7252397671	1008	35100
7.161476135253906	34	77.4615384615	34.4464252575	150.0	29.0	77.4615384615	34.4464252575	1007	36107
7.353338956832886	35	97.0909090909	22.2484097305	155.0	72.0	97.0909090909	22.2484097305	1068	37175
7.554045915603638	36	101.454545455	29.8948570717	140.0	50.0	101.454545455	29.8948570717	1116	38291
7.755257844924927	37	120.333333333	51.0946833503	197.0	57.0	120.333333333	51.0946833503	1083	39374
7.954854965209961	38	99.0	44.4685793056	165.0	38.0	99.0	44.4685793056	1089	40463
8.148035049438477	39	99.1818181818	36.5260011544	161.0	35.0	99.1818181818	36.5260011544	1091	41554
8.351308107376099	40	99.0	39.3007055222	178.0	41.0	99.0	39.3007055222	1089	42643
8.53809905052185	41	93.0909090909	32.106228638	143.0	41.0	93.0909090909	32.106228638	1024	43667
8.72731900215149	42	93.9090909091	37.1885968482	169.0	35.0	93.9090909091	37.1885968482	1033	44700
8.916719198226929	43	130.125	36.6791408705	200.0	82.0	130.125	36.6791408705	1041	45741
9.109611988067627	44	106.5	41.292251089	200.0	71.0	106.5	41.292251089	1065	46806
9.30704402923584	45	118.111111111	51.0934752182	200.0	32.0	118.111111111	51.0934752182	1063	47869
9.496111869812012	46	131.0	38.5810834477	185.0	65.0	131.0	38.5810834477	1048	48917
9.693495988845825	47	137.125	40.2257302606	200.0	86.0	137.125	40.2257302606	1097	50014
9.888650894165039	48	134.0	46.4408225595	200.0	64.0	134.0	46.4408225595	1072	51086
10.090351104736328	49	138.5	33.1058907145	200.0	86.0	138.5	33.1058907145	1108	52194
10.30544114112854	50	143.428571429	45.9747046688	200.0	71.0	143.428571429	45.9747046688	1004	53198
10.537333965301514	51	157.142857143	39.8512540453	200.0	105.0	157.142857143	39.8512540453	1100	54298
10.773448944091797	52	155.571428571	50.5621460407	200.0	53.0	155.571428571	50.5621460407	1089	55387
11.01838207244873	53	194.666666667	11.92569588	200.0	168.0	194.666666667	11.92569588	1168	56555
11.239052057266235	54	190.5	21.2426457862	200.0	143.0	190.5	21.2426457862	1143	57698
